Density,Viscosity,Oil Saturation,Net Thickness,Permeability,Depth,EOR Process,,,,,,,,,,,
24,299,41,3,62,875,0,,,,,,,,,,,
18,244,79,5,95,768,0,,,,,,,,,,,
35,101,61,9,59,1243,0,,,,,,,,,,,
22,76,50,5,72,482,0,,,,,,,,,,,
27,73,44,5,80,1109,0,,,,,,,,,,,
14,329,71,4,98,1088,0,,,,,,,,,,,
10,328,54,3,67,739,0,,,,,,,,,,,
16,402,49,8,74,1020,0,,,,,,,,,,,
35,86,59,8,93,1204,0,,,,,,,,,,,
27,410,78,7,94,404,0,,,,,,,,,,,
27,142,72,10,73,1291,0,,,,,,,,,,,
33,385,68,10,56,198,0,,,,,,,,,,,
22,290,61,4,65,1026,0,,,,,,,,,,,
13,393,52,7,100,617,0,,,,,,,,,,,
17,414,51,6,74,372,0,,,,,,,,,,,
13,184,51,5,66,1270,0,,,,,,,,,,,
17,496,53,8,92,327,0,,,,,,,,,,,
12,77,69,8,57,1338,0,,,,,,,,,,,
19,412,53,6,63,1243,0,,,,,,,,,,,
29,349,45,4,59,827,0,,,,,,,,,,,
13,172,55,10,86,1245,0,,,,,,,,,,,
10,33,71,5,75,322,0,,,,,,,,,,,
23,92,47,6,82,1196,0,,,,,,,,,,,
13,140,54,5,68,1091,0,,,,,,,,,,,
12,469,75,6,55,239,0,,,,,,,,,,,
12,465,76,10,71,313,0,,,,,,,,,,,
33,458,71,4,89,1216,0,,,,,,,,,,,
25,241,42,5,85,1067,0,,,,,,,,,,,
11,282,79,8,59,284,0,,,,,,,,,,,
29,363,60,7,60,883,0,,,,,,,,,,,
33,45,64,10,61,627,0,,,,,,,,,,,
35,489,58,3,51,733,0,,,,,,,,,,,
21,224,60,8,94,1044,0,,,,,,,,,,,
11,234,43,8,73,1310,0,,,,,,,,,,,
20,393,46,4,74,1061,0,,,,,,,,,,,
19,166,73,4,91,834,0,,,,,,,,,,,
24,202,69,4,50,534,0,,,,,,,,,,,
10,335,47,6,50,554,0,,,,,,,,,,,
19,108,42,10,84,1323,0,,,,,,,,,,,
16,165,58,8,60,1242,0,,,,,,,,,,,
15,496,52,3,95,364,0,,,,,,,,,,,
18,120,58,5,70,494,0,,,,,,,,,,,
23,436,78,3,51,597,0,,,,,,,,,,,
31,210,46,8,70,1489,0,,,,,,,,,,,
34,417,40,4,67,835,0,,,,,,,,,,,
15,36,57,9,72,1086,0,,,,,,,,,,,
24,222,44,5,81,1301,0,,,,,,,,,,,
15,124,76,5,82,969,0,,,,,,,,,,,
27,273,76,4,84,1464,0,,,,,,,,,,,
14,254,69,4,84,685,0,,,,,,,,,,,
27,175,60,6,61,1045,0,,,,,,,,,,,
32,280,72,9,75,722,0,,,,,,,,,,,
20,301,74,3,81,793,0,,,,,,,,,,,
33,245,77,9,51,369,0,,,,,,,,,,,
14,67,60,4,60,1447,0,,,,,,,,,,,
21,33,69,7,71,313,0,,,,,,,,,,,
27,271,56,5,50,1454,0,,,,,,,,,,,
35,444,44,7,79,364,0,,,,,,,,,,,
20,411,46,9,73,460,0,,,,,,,,,,,
11,157,42,7,68,1182,0,,,,,,,,,,,
22,84,67,7,76,889,0,,,,,,,,,,,
28,387,44,3,88,290,0,,,,,,,,,,,
25,135,46,7,84,472,0,,,,,,,,,,,
14,141,53,5,84,1422,0,,,,,,,,,,,
17,139,59,8,57,1307,0,,,,,,,,,,,
19,374,64,9,65,798,0,,,,,,,,,,,
16,424,64,5,63,1025,0,,,,,,,,,,,
35,184,62,5,71,1152,0,,,,,,,,,,,
17,43,65,10,63,1477,0,,,,,,,,,,,
11,366,51,10,55,1164,0,,,,,,,,,,,
34,483,76,9,65,1401,0,,,,,,,,,,,
23,145,77,6,52,1418,0,,,,,,,,,,,
35,308,74,7,68,1187,0,,,,,,,,,,,
34,209,60,5,64,1434,0,,,,,,,,,,,
27,108,43,10,76,329,0,,,,,,,,,,,
21,187,73,7,88,897,0,,,,,,,,,,,
23,475,50,5,61,209,0,,,,,,,,,,,
32,211,45,5,74,816,0,,,,,,,,,,,
10,180,47,9,71,891,0,,,,,,,,,,,
19,80,67,6,60,538,0,,,,,,,,,,,
17,120,42,4,87,672,0,,,,,,,,,,,
17,482,63,6,73,318,0,,,,,,,,,,,
32,260,75,3,85,326,0,,,,,,,,,,,
12,132,41,6,67,598,0,,,,,,,,,,,
11,120,63,5,67,455,0,,,,,,,,,,,
12,356,61,6,87,648,0,,,,,,,,,,,
17,109,57,3,57,1079,0,,,,,,,,,,,
23,352,70,3,97,854,0,,,,,,,,,,,
16,486,43,4,76,179,0,,,,,,,,,,,
14,471,44,4,96,1074,0,,,,,,,,,,,
25,234,51,5,79,312,0,,,,,,,,,,,
16,265,70,7,90,1313,0,,,,,,,,,,,
22,168,57,4,66,303,0,,,,,,,,,,,
20,145,73,8,81,1315,0,,,,,,,,,,,
29,425,70,7,84,907,0,,,,,,,,,,,
17,393,69,10,62,983,0,,,,,,,,,,,
18,34,50,5,83,1181,0,,,,,,,,,,,
16,324,66,8,76,930,0,,,,,,,,,,,
22,221,59,6,83,896,0,,,,,,,,,,,
12,87,47,4,94,646,0,,,,,,,,,,,
34,340,71,8,52,596,0,,,,,,,,,,,
10,250,73,7,73,1480,0,,,,,,,,,,,
35,158,71,5,63,369,0,,,,,,,,,,,
10,51,47,7,90,859,0,,,,,,,,,,,
28,211,53,3,65,1071,0,,,,,,,,,,,
15,53,40,3,87,1023,0,,,,,,,,,,,
27,85,74,3,60,1493,0,,,,,,,,,,,
18,114,63,7,65,905,0,,,,,,,,,,,
18,488,51,4,88,1039,0,,,,,,,,,,,
22,251,53,10,60,852,0,,,,,,,,,,,
26,459,55,10,81,476,0,,,,,,,,,,,
19,322,72,3,67,1482,0,,,,,,,,,,,
15,428,59,10,52,542,0,,,,,,,,,,,
14,183,62,7,79,637,0,,,,,,,,,,,
32,415,49,5,88,1040,0,,,,,,,,,,,
22,126,78,8,86,914,0,,,,,,,,,,,
13,295,44,5,51,441,0,,,,,,,,,,,
22,482,77,6,54,1214,0,,,,,,,,,,,
25,268,73,9,96,1486,0,,,,,,,,,,,
22,500,80,3,77,1416,0,,,,,,,,,,,
35,245,55,10,59,1220,0,,,,,,,,,,,
30,50,57,3,92,1010,0,,,,,,,,,,,
31,494,78,3,53,670,0,,,,,,,,,,,
17,432,59,6,67,615,0,,,,,,,,,,,
26,403,48,8,55,312,0,,,,,,,,,,,
24,462,67,5,99,661,0,,,,,,,,,,,
28,302,43,6,62,818,0,,,,,,,,,,,
31,205,62,10,74,1458,0,,,,,,,,,,,
33,492,52,8,73,1206,0,,,,,,,,,,,
11,305,70,5,79,463,0,,,,,,,,,,,
34,25,72,8,70,577,0,,,,,,,,,,,
19,339,54,9,57,455,0,,,,,,,,,,,
17,468,62,8,72,203,0,,,,,,,,,,,
22,465,74,9,82,217,0,,,,,,,,,,,
17,137,58,5,53,1491,0,,,,,,,,,,,
29,182,57,7,67,474,0,,,,,,,,,,,
26,326,50,3,58,1273,0,,,,,,,,,,,
15,270,79,8,67,579,0,,,,,,,,,,,
19,488,75,6,52,1457,0,,,,,,,,,,,
18,338,59,5,85,409,0,,,,,,,,,,,
